Region;Node_number
PreGy_L;0
PreGy_R;1
FrontSup_L;2
FrontSup_R;3
FrontSupOrb_L;4
FrontSupOrb_R;5
FrontMid_L;6
FrontMid_R;7
FrontMidOrb_L;8
FrontMidOrb_R;9
FrontInfOperc_L;10
FrontInfOperc_R;11
FrontInfTri_L;12
FrontInfTri_R;13
FrontInfOrb_L;14
FrontInfOrb_R;15
RolandOperc_L;16
RolandOperc_R;17
SMA_L;18
SMA_R;19
Olfactory_L;20
Olfactory_R;21
FrontSupMed_L;22
FrontSupMed_R;23
FrontMedOrb_L;24
FrontMedOrb_R;25
Insula_L;26
Insula_R;27
CingAnt_L;28
CingAnt_R;29
CingMid_L;30
CingMid_R;31
CingPost_L;32
CingPost_R;33
Hippocampus_L;34
Hippocampus_R;35
ParaHippoc_L;36
ParaHippoc_R;37
Amygdala_L;38
Amygdala_R;39
Calcarine_L;40
Calcarine_R;41
Cuneus_L;42
Cuneus_R;43
Lingual_L;44
Lingual_R;45
Occipital_L;46
Occipial_R;47
Fusiform_L;48
Fusiform_R;49
Postcentral_L;50
Postcentral_R;51
ParietalSup_L;52
ParietalSup_R;53
ParietalInf_L;54
ParietalInf_R;55
SupraMarginal_L;56
SupraMarginal_R;57
Angular_L;58
Angular_R;59
Precuneus_L;60
Precuneus_R;61
ParacentralLob_L;62
ParacentralLob_R;63
Caudate_L;64
Caudate_R;65
Putamen_L;66
Putamen_R;67
Pallidum_L;68
Pallidum_R;69
Thalamus_L;70
Thalamus_R;71
Heschl_L;72
Heschl_R;73
TempSup_L;74
TempSup_R;75
TempPole_L;76
TempPole_R;77
TempMid_L;78
TempMid_R;79
TempInf_L;80
TempInf_R;81
Cereb_I_II_L;82
Cereb_I_II_R;83
Cereb_III_VI_L;84
Cereb_III_VI_R;85
Cereb_VII_X_L;86
Cereb_VII_X_R;87
Vermis;88
